site type swap energy
1 1 2 -1448.50476761
1 1 3 -1449.42562747
1 1 4 -1447.12606139
1 1 5 -1450.50445616
2 1 2 -1448.53263441
2 1 3 -1449.42155503
2 1 4 -1447.16268455
2 1 5 -1450.49891640
3 1 2 -1448.68117286
3 1 3 -1449.36422170
3 1 4 -1446.96430979
3 1 5 -1450.59246188
4 1 2 -1448.72003090
4 1 3 -1449.33247328
4 1 4 -1447.08092490
4 1 5 -1450.59061721
5 1 2 -1448.61863319
5 1 3 -1449.40785985
5 1 4 -1447.09304311
5 1 5 -1450.57703037
6 1 2 -1448.71274963
6 1 3 -1449.36474548
6 1 4 -1447.04716396
6 1 5 -1450.58321536
7 1 2 -1448.72016103
7 1 3 -1449.36732953
7 1 4 -1446.99916125
7 1 5 -1450.60642949
8 1 2 -1448.56292109
8 1 3 -1449.44924680
8 1 4 -1447.07508686
8 1 5 -1450.56309959
9 1 2 -1448.64651102
9 1 3 -1449.36557971
9 1 4 -1447.08628775
9 1 5 -1450.54227109
10 1 2 -1448.89719915
10 1 3 -1449.28866789
10 1 4 -1446.89126102
10 1 5 -1450.70189264
11 1 2 -1448.52369973
11 1 3 -1449.43243668
11 1 4 -1447.20126628
11 1 5 -1450.48395447
12 1 2 -1448.43499877
12 1 3 -1449.48074123
12 1 4 -1447.19601262
12 1 5 -1450.48716457
13 1 2 -1448.72240968
13 1 3 -1449.38189668
13 1 4 -1446.95581518
13 1 5 -1450.65320630
14 1 2 -1448.85684585
14 1 3 -1449.33743516
14 1 4 -1446.89517187
14 1 5 -1450.71531406
15 1 2 -1448.66097660
15 1 3 -1449.35796092
15 1 4 -1446.99685542
15 1 5 -1450.56182256
16 1 2 -1448.81292132
16 1 3 -1449.33422178
16 1 4 -1446.87236426
16 1 5 -1450.66522549
17 1 2 -1448.59554604
17 1 3 -1449.41800433
17 1 4 -1447.04030296
17 1 5 -1450.56446658
18 1 2 -1448.63598902
18 1 3 -1449.40903196
18 1 4 -1447.06848230
18 1 5 -1450.57602418
19 1 2 -1448.61093783
19 1 3 -1449.39285476
19 1 4 -1447.08629900
19 1 5 -1450.53792068
20 1 2 -1448.65114024
20 1 3 -1449.36738728
20 1 4 -1447.10400163
20 1 5 -1450.55476182
21 1 2 -1448.65809809
21 1 3 -1449.40362430
21 1 4 -1446.97959673
21 1 5 -1450.61146618
22 1 2 -1448.73654782
22 1 3 -1449.37458266
22 1 4 -1447.00900646
22 1 5 -1450.64503597
23 1 2 -1448.63109748
23 1 3 -1449.38628660
23 1 4 -1447.08332012
23 1 5 -1450.53665206
24 1 2 -1448.65176471
24 1 3 -1449.41695644
24 1 4 -1447.05205625
24 1 5 -1450.60338441
25 1 2 -1448.70248777
25 1 3 -1449.41839924
25 1 4 -1446.90562996
25 1 5 -1450.66645977
26 2 1 -1446.00443589
26 2 3 -1447.99386927
26 2 4 -1445.58092386
26 2 5 -1449.27251449
27 2 1 -1445.95492141
27 2 3 -1447.93002773
27 2 4 -1445.52748720
27 2 5 -1449.24942991
28 2 1 -1446.25735463
28 2 3 -1448.33697071
28 2 4 -1446.04832915
28 2 5 -1449.39752174
29 2 1 -1446.16606340
29 2 3 -1448.21439731
29 2 4 -1445.85063395
29 2 5 -1449.34599710
30 2 1 -1446.08598498
30 2 3 -1448.10682906
30 2 4 -1445.66302242
30 2 5 -1449.30994334
31 2 1 -1445.96879168
31 2 3 -1447.89119491
31 2 4 -1445.54467610
31 2 5 -1449.19428509
32 2 1 -1446.24140969
32 2 3 -1448.30822820
32 2 4 -1445.99384905
32 2 5 -1449.37188126
33 2 1 -1446.16824098
33 2 3 -1448.18285724
33 2 4 -1445.87674744
33 2 5 -1449.30947525
34 2 1 -1445.88944797
34 2 3 -1447.79970252
34 2 4 -1445.45301898
34 2 5 -1449.17185996
35 2 1 -1445.99402375
35 2 3 -1447.94680957
35 2 4 -1445.58771752
35 2 5 -1449.22957960
36 2 1 -1446.19852203
36 2 3 -1448.24185640
36 2 4 -1445.98839984
36 2 5 -1449.32449872
37 2 1 -1446.15827080
37 2 3 -1448.21001283
37 2 4 -1445.89121206
37 2 5 -1449.35261728
38 2 1 -1445.73601118
38 2 3 -1447.63890194
38 2 4 -1445.11626918
38 2 5 -1449.16066674
39 2 1 -1446.09678482
39 2 3 -1448.12689104
39 2 4 -1445.77676981
39 2 5 -1449.31043649
40 2 1 -1445.78193294
40 2 3 -1447.66080545
40 2 4 -1445.25609750
40 2 5 -1449.13850351
41 2 1 -1445.97851233
41 2 3 -1447.92568452
41 2 4 -1445.54607021
41 2 5 -1449.22789005
42 2 1 -1445.98543249
42 2 3 -1447.95819955
42 2 4 -1445.52260772
42 2 5 -1449.26847654
43 2 1 -1446.18315869
43 2 3 -1448.23027408
43 2 4 -1445.92587130
43 2 5 -1449.35197399
44 2 1 -1446.12204030
44 2 3 -1448.17074527
44 2 4 -1445.80503441
44 2 5 -1449.34287378
45 2 1 -1446.07432403
45 2 3 -1448.06155963
45 2 4 -1445.70783724
45 2 5 -1449.27906644
46 2 1 -1446.01859730
46 2 3 -1448.03680330
46 2 4 -1445.65988387
46 2 5 -1449.29348592
47 2 1 -1446.08322420
47 2 3 -1448.09225624
47 2 4 -1445.74307752
47 2 5 -1449.29630498
48 2 1 -1446.09703086
48 2 3 -1448.11908178
48 2 4 -1445.74274971
48 2 5 -1449.31829742
49 2 1 -1446.14088730
49 2 3 -1448.18907434
49 2 4 -1445.77983384
49 2 5 -1449.35509447
50 2 1 -1446.15910150
50 2 3 -1448.22311185
50 2 4 -1445.81492146
50 2 5 -1449.36560427
51 3 1 -1445.34723938
51 3 2 -1446.60387039
51 3 4 -1445.02775029
51 3 5 -1448.54332448
52 3 1 -1445.32343352
52 3 2 -1446.46091657
52 3 4 -1445.11057210
52 3 5 -1448.43540353
53 3 1 -1445.31246652
53 3 2 -1446.43281057
53 3 4 -1445.11626008
