site, energy
1 -1433.23198177
2 -1433.45815235
3 -1434.01814464
4 -1434.12796477
5 -1433.61602388
6 -1434.51454980
7 -1434.18081346
8 -1433.14926200
9 -1434.32659755
10 -1434.68450046
11 -1433.85319052
12 -1432.85376857
13 -1433.70118501
14 -1434.43354703
15 -1433.92894969
16 -1434.32682734
17 -1434.98865794
18 -1434.00576696
19 -1433.76031795
20 -1434.10538881
21 -1433.55082081
22 -1433.86580773
23 -1434.49381908
24 -1433.50625478
25 -1433.30583985
26 -1432.98581102
27 -1432.77402078
28 -1431.94070102
29 -1432.35758295
30 -1432.49872979
31 -1433.19495724
32 -1432.27940570
33 -1432.61361315
34 -1433.32898923
35 -1433.32989965
36 -1432.41287758
37 -1432.29092574
38 -1433.07152052
39 -1432.78186461
40 -1433.43669544
41 -1433.49155969
42 -1432.71308882
43 -1432.17328091
44 -1432.43671531
45 -1432.60194294
46 -1432.75132148
47 -1433.84748673
48 -1432.40406303
49 -1432.25603016
50 -1431.91366749
51 -1431.78033785
52 -1432.69197513
53 -1431.12089226
54 -1432.69584139
55 -1431.57793898
56 -1432.46183464
57 -1431.43341287
58 -1431.53181332
59 -1432.80643928
60 -1432.83758915
61 -1431.16605420
62 -1432.33788345
63 -1432.34236503
64 -1431.99450470
65 -1432.11066455
66 -1431.58033381
67 -1432.39857062
68 -1431.37587095
69 -1431.26688903
70 -1433.86678325
71 -1432.07476447
72 -1431.81382613
73 -1431.27749284
74 -1430.75016080
75 -1430.87804981
76 -1435.77801502
77 -1433.96110735
78 -1433.31542978
79 -1433.94751767
80 -1435.48035990
81 -1433.66348588
82 -1434.35535977
83 -1434.69732698
84 -1433.90200502
85 -1434.14871182
86 -1433.61981307
87 -1434.21158415
88 -1433.45486293
89 -1433.96298356
90 -1434.78721855
91 -1434.88693331
92 -1434.21463818
93 -1434.78445444
94 -1434.26484424
95 -1435.47938167
96 -1434.66299654
97 -1435.03634581
98 -1434.50592799
99 -1433.44187052
100 -1433.97499712
101 -1431.98434407
102 -1430.91405133
103 -1430.26545461
104 -1432.69476243
105 -1429.88395338
106 -1432.13217556
107 -1431.46772309
108 -1430.83479992
109 -1431.00329936
110 -1430.91541708
111 -1430.61084629
112 -1430.53824973
113 -1430.60130039
114 -1431.34659268
115 -1431.92936014
116 -1430.92167715
117 -1433.08123908
118 -1430.62432424
119 -1432.58859001
120 -1430.54275883
121 -1430.65107293
122 -1430.79684464
123 -1430.83050358
124 -1430.90652212
125 -1429.93188690
