site type swap energy
1 1 2 -1444.87113177
1 1 3 -1445.64829333
1 1 4 -1441.14723619
1 1 5 -1446.90321011
2 1 2 -1444.86947912
2 1 3 -1445.64622962
2 1 4 -1441.21819489
2 1 5 -1446.87086350
3 1 2 -1445.06007068
3 1 3 -1445.59339421
3 1 4 -1441.15798912
3 1 5 -1447.01251284
4 1 2 -1445.22581366
4 1 3 -1445.54404926
4 1 4 -1441.03926955
4 1 5 -1447.11427367
5 1 2 -1444.99461531
5 1 3 -1445.63766325
5 1 4 -1441.18677020
5 1 5 -1446.99391161
6 1 2 -1444.98496201
6 1 3 -1445.62616571
6 1 4 -1441.29145249
6 1 5 -1446.93842797
7 1 2 -1445.05531081
7 1 3 -1445.62185395
7 1 4 -1441.23905306
7 1 5 -1447.00914244
8 1 2 -1444.93867823
8 1 3 -1445.66381571
8 1 4 -1441.21341598
8 1 5 -1446.96002380
9 1 2 -1445.04314005
9 1 3 -1445.58847223
9 1 4 -1441.22776641
9 1 5 -1446.97401957
10 1 2 -1445.13039212
10 1 3 -1445.54656823
10 1 4 -1441.19371707
10 1 5 -1447.00176007
11 1 2 -1444.89578350
11 1 3 -1445.64785586
11 1 4 -1441.31398402
11 1 5 -1446.88979447
12 1 2 -1444.81387562
12 1 3 -1445.68923617
12 1 4 -1441.22934533
12 1 5 -1446.88603475
13 1 2 -1445.07513031
13 1 3 -1445.59037611
13 1 4 -1441.13701952
13 1 5 -1447.02364273
14 1 2 -1445.13396833
14 1 3 -1445.56934701
14 1 4 -1441.16210064
14 1 5 -1447.04595099
15 1 2 -1444.96850652
15 1 3 -1445.58755540
15 1 4 -1441.14909989
15 1 5 -1446.91950793
16 1 2 -1445.19638613
16 1 3 -1445.54668019
16 1 4 -1441.18314735
16 1 5 -1447.07624212
17 1 2 -1445.00359021
17 1 3 -1445.63574123
17 1 4 -1441.19734070
17 1 5 -1447.00374731
18 1 2 -1445.00601353
18 1 3 -1445.62198681
18 1 4 -1441.26968615
18 1 5 -1446.97577090
19 1 2 -1444.95105178
19 1 3 -1445.61339308
19 1 4 -1441.24519514
19 1 5 -1446.91287064
20 1 2 -1445.03784112
20 1 3 -1445.59476279
20 1 4 -1441.18361681
20 1 5 -1446.97970760
21 1 2 -1445.04820535
21 1 3 -1445.60255054
21 1 4 -1441.18805797
21 1 5 -1447.00518866
22 1 2 -1445.07289892
22 1 3 -1445.61403460
22 1 4 -1441.19993725
22 1 5 -1447.03174440
23 1 2 -1444.95007344
23 1 3 -1445.63242559
23 1 4 -1441.26959462
23 1 5 -1446.92314475
24 1 2 -1444.99640429
24 1 3 -1445.63528446
24 1 4 -1441.22986489
24 1 5 -1446.97754855
25 1 2 -1445.08435880
25 1 3 -1445.61608446
25 1 4 -1441.17983728
25 1 5 -1447.04854216
26 2 1 -1442.78746450
26 2 3 -1444.52740034
26 2 4 -1440.09423089
26 2 5 -1445.87740681
27 2 1 -1442.64473966
27 2 3 -1444.31773547
27 2 4 -1439.90915869
27 2 5 -1445.79494256
28 2 1 -1442.82649209
28 2 3 -1444.58775355
28 2 4 -1440.11819302
28 2 5 -1445.91299215
29 2 1 -1442.83429423
29 2 3 -1444.60095009
29 2 4 -1440.18716619
29 2 5 -1445.90314187
30 2 1 -1442.77772616
30 2 3 -1444.49732557
30 2 4 -1440.12789742
30 2 5 -1445.85011763
31 2 1 -1442.74119763
31 2 3 -1444.40969309
31 2 4 -1440.04931282
31 2 5 -1445.79095596
32 2 1 -1442.92504758
32 2 3 -1444.69469128
32 2 4 -1440.29281787
32 2 5 -1445.91751709
33 2 1 -1442.83664348
33 2 3 -1444.56993746
33 2 4 -1440.13812318
33 2 5 -1445.87694545
34 2 1 -1442.60675130
34 2 3 -1444.24732669
34 2 4 -1439.86680429
34 2 5 -1445.75028965
35 2 1 -1442.63596562
35 2 3 -1444.32541742
35 2 4 -1439.88497762
35 2 5 -1445.80295875
36 2 1 -1442.92953332
36 2 3 -1444.70530923
36 2 4 -1440.29921834
36 2 5 -1445.90763662
37 2 1 -1442.78657840
37 2 3 -1444.54021100
37 2 4 -1440.12434945
37 2 5 -1445.88898320
38 2 1 -1442.43994491
38 2 3 -1444.07785672
38 2 4 -1439.63991540
38 2 5 -1445.73524168
39 2 1 -1442.76242416
39 2 3 -1444.51526059
39 2 4 -1440.11874606
39 2 5 -1445.87355775
40 2 1 -1442.56916561
40 2 3 -1444.21362239
40 2 4 -1439.85896558
40 2 5 -1445.73920888
41 2 1 -1442.66265509
41 2 3 -1444.33088652
41 2 4 -1439.95512765
41 2 5 -1445.78917335
42 2 1 -1442.67537394
42 2 3 -1444.34225161
42 2 4 -1439.92800866
42 2 5 -1445.80506764
43 2 1 -1442.77080745
43 2 3 -1444.52777401
43 2 4 -1440.03853787
43 2 5 -1445.90104433
44 2 1 -1442.77624766
44 2 3 -1444.53701518
44 2 4 -1440.14813667
44 2 5 -1445.88965776
45 2 1 -1442.74952855
45 2 3 -1444.45348591
45 2 4 -1440.04913864
45 2 5 -1445.83633107
46 2 1 -1442.70733020
46 2 3 -1444.41858664
46 2 4 -1440.02359727
46 2 5 -1445.83620169
47 2 1 -1442.78853396
47 2 3 -1444.50152493
47 2 4 -1440.13720702
47 2 5 -1445.84680227
48 2 1 -1442.74963184
48 2 3 -1444.45707154
48 2 4 -1440.00470424
48 2 5 -1445.84722541
49 2 1 -1442.82198057
