site energy
1 -1429.18917031
2 -1429.40316731
3 -1429.97503180
4 -1430.41316097
5 -1429.46602822
6 -1429.98203223
7 -1429.82455171
8 -1429.25633794
9 -1430.22827872
10 -1430.40948591
11 -1429.66548044
12 -1428.96350194
13 -1429.79661700
14 -1430.09227480
15 -1429.76208973
16 -1430.41803299
17 -1429.64338126
18 -1429.83901584
19 -1429.77756138
20 -1429.99491268
21 -1429.85107724
22 -1429.70568051
23 -1429.74709542
24 -1429.61188561
25 -1429.64414123
26 -1428.50319053
27 -1429.03403290
28 -1428.28495511
29 -1428.30027623
30 -1428.66228379
31 -1429.01268975
32 -1428.46896011
33 -1428.58447024
34 -1429.32233554
35 -1429.07310922
36 -1428.35702008
37 -1428.52900033
38 -1429.16458934
39 -1428.54647593
40 -1429.22318131
41 -1429.21864590
42 -1428.86213604
43 -1428.22433721
44 -1428.44288259
45 -1428.79144145
46 -1428.74406698
47 -1428.79052357
48 -1428.75038245
49 -1428.44323681
50 -1428.22953447
51 -1428.07612784
52 -1427.90547417
53 -1427.59017697
54 -1428.58322515
55 -1428.19077054
56 -1428.72292399
57 -1427.52936397
58 -1427.98853959
59 -1428.67941454
60 -1428.79539501
61 -1427.47435747
62 -1428.91699792
63 -1428.39322451
64 -1427.86404862
65 -1428.41626972
66 -1427.85552533
67 -1428.34740845
68 -1427.67226619
69 -1427.54436099
70 -1428.33471961
71 -1428.51621553
72 -1428.10125766
73 -1427.52666257
74 -1427.06315983
75 -1427.39582327
76 -1433.10391214
77 -1432.25994743
78 -1431.72011353
79 -1432.66092129
80 -1432.24124169
81 -1432.28386378
82 -1432.70608019
83 -1432.50418282
84 -1432.45857452
85 -1432.42772572
86 -1432.12763756
87 -1432.19879754
88 -1432.07730289
89 -1432.45803553
90 -1432.74490641
91 -1432.65616884
92 -1432.29988840
93 -1432.94944014
94 -1432.25262418
95 -1432.81335648
96 -1432.65491585
97 -1432.88003465
98 -1432.82341713
99 -1432.15636814
100 -1432.30151309
101 -1426.32453054
102 -1427.01600401
103 -1426.32325460
104 -1426.20228198
105 -1426.09925155
106 -1427.25861496
107 -1427.09262738
108 -1426.64146124
109 -1427.07825688
110 -1426.98455244
111 -1426.40904282
112 -1426.68356787
113 -1426.93555723
114 -1427.18173902
115 -1426.38283812
116 -1427.05752149
117 -1427.24010173
118 -1426.49621821
119 -1426.65800038
120 -1426.69805586
121 -1426.88176791
122 -1426.87967356
123 -1426.74205287
124 -1426.77353767
125 -1426.34398388
