site type swap energy
1 1 2 -347.64802069
1 1 3 -348.08605016
1 1 4 -343.71912200
1 1 5 -349.55324986
2 1 2 -347.43773904
2 1 3 -348.17124068
2 1 4 -343.74662700
2 1 5 -349.44362941
3 1 2 -347.41192242
3 1 3 -348.16895147
3 1 4 -343.72510545
3 1 5 -349.41544000
4 1 2 -347.45985786
4 1 3 -348.13476929
4 1 4 -343.68938375
4 1 5 -349.44258138
5 1 2 -347.59291564
5 1 3 -348.09194377
5 1 4 -343.73870185
5 1 5 -349.51294140
6 1 2 -347.44214412
6 1 3 -348.13735809
6 1 4 -343.73036289
6 1 5 -349.41977924
7 2 1 -345.24359849
7 2 3 -346.88109284
7 2 4 -342.52874265
7 2 5 -348.29949116
8 2 1 -345.40829415
8 2 3 -347.17012310
8 2 4 -342.73964164
8 2 5 -348.44194671
9 2 1 -345.23172111
9 2 3 -346.92008553
9 2 4 -342.52296445
9 2 5 -348.34601749
10 2 1 -345.27455702
10 2 3 -346.96227984
10 2 4 -342.55452568
10 2 5 -348.35393461
11 2 1 -345.31210285
11 2 3 -347.01545966
11 2 4 -342.64927377
11 2 5 -348.36054675
12 2 1 -345.42689485
12 2 3 -347.16138339
12 2 4 -342.75254008
12 2 5 -348.41470416
13 3 1 -344.67931182
13 3 2 -345.70411703
13 3 4 -342.05292489
13 3 5 -347.68942682
14 3 1 -344.71207507
14 3 2 -345.80488506
14 3 4 -342.06103440
14 3 5 -347.74861579
15 3 1 -344.69474553
15 3 2 -345.76553946
15 3 4 -342.03226189
15 3 5 -347.73928239
16 3 1 -344.68977015
16 3 2 -345.79136160
16 3 4 -341.89317582
16 3 5 -347.77922918
17 3 1 -344.75623550
17 3 2 -345.95613958
17 3 4 -342.06644333
17 3 5 -347.84768552
18 3 1 -344.67179204
18 3 2 -345.65793449
18 3 4 -341.99590532
18 3 5 -347.65555024
19 4 1 -349.06045797
19 4 2 -350.13930439
19 4 3 -350.78098718
19 4 5 -352.09788874
20 4 1 -349.13403262
20 4 2 -350.26515987
20 4 3 -350.84733603
20 4 5 -352.22158245
21 4 1 -349.10758190
21 4 2 -350.22838355
21 4 3 -350.80585435
21 4 5 -352.17655506
22 4 1 -349.02853735
22 4 2 -350.15980904
22 4 3 -350.73169326
22 4 5 -352.09051050
23 4 1 -349.03864419
23 4 2 -350.17004986
23 4 3 -350.74727488
23 4 5 -352.09046906
24 4 1 -349.07541018
24 4 2 -350.06807936
24 4 3 -350.83833219
24 4 5 -352.09411967
25 5 1 -343.38904692
25 5 2 -344.46295966
25 5 3 -345.09331645
25 5 4 -340.72544305
26 5 1 -343.38341993
26 5 2 -344.48487258
26 5 3 -345.07357375
26 5 4 -340.73562696
27 5 1 -343.30279252
27 5 2 -344.53576788
27 5 3 -344.94823902
27 5 4 -340.57790155
28 5 1 -343.40028526
28 5 2 -344.43922015
28 5 3 -345.11129786
28 5 4 -340.69307246
29 5 1 -343.33488242
29 5 2 -344.49750119
29 5 3 -345.01551210
29 5 4 -340.58076989
30 5 1 -343.32700126
30 5 2 -344.41338833
30 5 3 -345.06197446
30 5 4 -340.59514772
