site energy
1 -332.55377816
2 -331.78131689
3 -331.89088716
4 -332.11560948
5 -332.51108273
6 -331.93337481
7 -331.55394414
8 -330.72881064
9 -331.34612502
10 -331.25862420
11 -331.29075054
12 -330.96904609
13 -330.42130824
14 -330.65924287
15 -330.41128534
16 -329.94029824
17 -330.90002745
18 -330.16759794
19 -334.90433034
20 -334.63573056
21 -335.06810699
22 -335.11118582
23 -335.15694069
24 -334.45523432
25 -329.35311182
26 -329.42026428
27 -329.69001333
28 -329.14356257
29 -329.40884718
30 -328.79302828
